T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG,Year,Month,Day
-,-,-,-,-,-,-,-,-,-,o,-,-,-,2009,04,6
27.8,33,21,-,33,0,3.5,10.7,22.2,33.5,-,-,-,-,2009,04,7
22.7,28,18,-,57,-,3.7,18.3,37,55.4,o,-,o,-,2009,04,8
23.1,28,18,-,55,0,4.5,14.3,22.2,-,-,-,-,-,2009,04,9
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,04,10
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,04,11
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,04,12
30.2,36,22,-,31,0,3.2,12.4,27.8,-,-,-,-,-,2009,04,13
32.4,40,25,-,24,0,4.2,8,18.3,-,-,-,-,-,2009,04,14
31.9,38,25,-,24,0,3.1,8.9,20.6,-,-,-,-,-,2009,04,15
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,04,16
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,04,17
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,04,18
33.3,41,24,-,18,0,2.9,19.1,37,59.4,-,-,-,-,2009,04,19
33.6,39,25,-,22,0,2.7,13,27.8,37,-,-,-,-,2009,04,20
32.5,38,26,-,24,0,3.2,14.1,25.9,-,-,-,-,-,2009,04,21
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,04,22
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,04,23
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,04,24
29.7,35,22,-,17,0,3.4,13,29.4,40.7,-,-,-,-,2009,04,25
31.2,39,22,-,15,0,3.2,12.2,27.8,40.7,-,-,-,-,2009,04,26
33.4,41,23,-,16,0,3.5,17.2,31.3,55.4,-,-,-,-,2009,04,27
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,04,28
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,04,29
35.9,43,27,-,18,0,3.5,8.9,20.6,35.2,-,-,-,-,2009,05,1
34.7,41,28,-,22,0,2.4,12,22.2,-,-,-,-,-,2009,05,2
32.9,38,28,-,33,-,3.4,12,22.2,-,o,-,-,-,2009,05,3
-,-,-,-,-,-,-,-,-,-,-,-,o,-,2009,05,4
-,-,-,-,-,-,-,-,-,-,-,-,o,-,2009,05,5
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,05,6
32.8,38,26,-,26,0,3.7,9.6,25.9,42.4,-,-,-,-,2009,05,7
33.2,39,25,-,25,0,3.7,10.9,27.8,-,-,-,-,-,2009,05,8
34.1,39,27,-,25,0,3.4,10.6,24.1,37,-,-,-,-,2009,05,9
-,-,-,-,-,-,-,-,-,-,-,-,o,-,2009,05,10
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,05,11
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,05,12
32.5,38,27,-,45,0,3.9,14.4,22.2,-,-,-,-,-,2009,05,13
33.8,39,27,-,40,0,3.5,15.2,24.1,37,-,-,-,-,2009,05,14
34.2,39,30,-,42,0,3.2,20.6,29.4,-,-,-,-,-,2009,05,15
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,05,16
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,05,17
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,05,18
35.1,43,27,-,38,0,2.4,13.1,46.5,64.8,-,-,-,-,2009,05,19
34.1,41,29,-,41,0,3.1,10.6,20.6,-,-,-,-,-,2009,05,20
36.2,41,31,-,45,0,2.7,9.8,16.5,-,-,-,-,-,2009,05,21
-,-,-,-,-,-,-,-,-,-,o,-,-,-,2009,05,22
-,-,-,-,-,-,-,-,-,-,o,-,o,-,2009,05,23
-,-,-,-,-,-,-,-,-,-,-,-,o,-,2009,05,24
31.7,37,26,-,44,0,4.2,14.4,29.4,33.5,-,-,o,-,2009,05,25
34.3,40,28,-,29,0,3.5,10.4,27.8,37,-,-,-,-,2009,05,26
37,43,29,-,27,0,3.2,7.2,25.9,-,-,-,-,-,2009,05,27
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,05,28
-,-,-,-,-,-,-,-,-,-,-,-,o,-,2009,05,29
-,-,-,-,-,-,-,-,-,-,o,-,o,-,2009,05,30
29.4,36,23,-,71,-,3.9,10.6,20.6,-,o,-,o,-,2009,05,31
32.2,37,26,-,51,0,2.9,8,14.8,-,-,-,-,-,2009,06,1
36.1,40,30,-,42,0,3.2,16.7,27.8,44.3,-,-,-,-,2009,06,2
36.6,41,31,-,34,0,2.7,18.1,29.4,40.7,-,-,-,-,2009,06,3
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,06,4
-,-,-,-,-,-,-,-,-,-,o,-,o,-,2009,06,5
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,06,6
35.7,41,28,-,20,0,3.2,11.3,22.2,33.5,-,-,-,-,2009,06,7
35.6,42,27,-,17,0,3.4,9.1,25.9,-,-,-,-,-,2009,06,8
36.2,42,28,-,17,0,3.4,8.9,22.2,40.7,-,-,-,-,2009,06,9
-,-,-,-,-,-,-,-,-,-,o,-,-,-,2009,06,10
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,06,11
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,06,12
35.8,42,31,-,28,0,3.1,11.1,25.9,51.9,-,-,o,-,2009,06,13
33.6,40,29,-,34,0,3.1,7.8,22.2,59.4,-,-,-,-,2009,06,14
32.6,37,26,-,41,-,2.7,13,27.8,63,o,-,o,-,2009,06,15
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,06,16
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,06,17
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,06,18
35.4,41,29,-,30,0,2.9,13.3,24.1,37,-,-,-,-,2009,06,19
36.6,42,29,-,27,0,2.6,13,25.9,37,-,-,-,-,2009,06,20
37.6,44,30,-,20,0,4.2,12.6,22.2,37,-,-,-,-,2009,06,21
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,06,22
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,06,23
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,06,24
37.7,43,33,-,34,0,3.7,10.6,20.6,-,-,-,-,-,2009,06,25
38.8,43,33,-,36,0,3.7,10.2,20.6,33.5,-,-,-,-,2009,06,26
38.8,45,34,-,37,0,3.7,11.5,16.5,33.5,-,-,-,-,2009,06,27
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,06,28
-,-,-,-,-,-,-,-,-,-,-,-,o,-,2009,06,29
-,-,-,-,-,-,-,-,-,-,o,-,o,-,2009,06,30
30.8,35,25,-,64,-,2.9,9.1,18.3,37,o,-,o,-,2009,07,1
29.7,34,25,-,59,-,3.5,9.6,25.9,-,o,-,o,-,2009,07,2
31.4,36,28,-,56,0,3.1,7.4,22.2,37,-,-,-,-,2009,07,3
-,-,-,-,-,-,-,-,-,-,o,-,-,-,2009,07,4
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,07,5
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,07,6
35.7,41,30,-,43,0,3.4,10.4,18.3,-,-,-,-,-,2009,07,7
34.7,39,31,-,47,0,4.8,14.6,18.3,-,-,-,o,-,2009,07,8
32.3,35,30,-,61,0,3.9,16.3,22.2,-,-,-,o,-,2009,07,9
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,07,10
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,07,11
-,-,-,-,-,-,-,-,-,-,-,-,o,-,2009,07,12
30.9,33,28,-,71,-,3.2,10.9,18.3,27.8,o,-,o,-,2009,07,13
30.9,37,28,-,70,0,2.7,7.4,22.2,-,-,-,-,-,2009,07,14
29.7,33,26,-,78,-,2.9,10.7,37,-,o,-,o,-,2009,07,15
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,07,16
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,07,17
-,-,-,-,-,-,-,-,-,-,-,-,o,-,2009,07,18
34.2,37,29,-,55,0,5.1,10,22.2,-,-,-,o,-,2009,07,19
32.7,35,31,-,61,0,5.6,8.5,18.3,-,-,-,-,-,2009,07,20
31.8,36,29,-,65,0,4.2,7.2,22.2,-,-,-,-,-,2009,07,21
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,07,22
-,-,-,-,-,-,-,-,-,-,o,-,o,-,2009,07,23
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,07,24
31.4,35,27,-,69,-,4.7,7.6,13,-,o,-,-,-,2009,07,25
33.7,38,29,-,59,0,5.6,10.7,16.5,-,-,-,-,-,2009,07,26
29.2,36,26,-,77,-,4.2,14.1,25.9,-,o,-,o,-,2009,07,27
-,-,-,-,-,-,-,-,-,-,o,-,-,-,2009,07,28
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,07,29
-,-,-,-,-,-,-,-,-,-,-,-,o,-,2009,07,30
32.4,36,29,-,58,0,4.5,15.6,25.9,-,-,-,-,-,2009,07,31
32.9,36,28,-,59,0,4.5,12.4,24.1,-,-,-,o,-,2009,08,1
32.9,37,29,-,62,-,4.3,11.3,22.2,-,o,-,-,-,2009,08,2
33.4,37,30,-,56,0,4.8,13.5,25.9,-,-,-,-,-,2009,08,3
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,08,4
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,08,5
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,08,6
34.1,38,30,-,51,0,3.7,10.9,22.2,33.5,-,-,-,-,2009,08,7
34.3,38,30,-,50,0,4.3,11.3,24.1,-,-,-,-,-,2009,08,8
34.7,38,30,-,49,0,4.8,12.6,25.9,-,-,-,-,-,2009,08,9
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,08,10
-,-,-,-,-,-,-,-,-,-,o,-,o,-,2009,08,11
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,08,12
32,37,28,-,64,-,4,11.1,14.8,-,o,-,o,-,2009,08,13
29.3,33,26,-,74,-,2.9,12.6,25.9,33.5,o,-,o,-,2009,08,14
27.9,30,26,-,85,-,2.9,5.4,11.1,-,o,-,-,-,2009,08,15
-,-,-,-,-,-,-,-,-,-,o,-,o,-,2009,08,16
-,-,-,-,-,-,-,-,-,-,o,-,-,-,2009,08,17
-,-,-,-,-,-,-,-,-,-,o,-,o,-,2009,08,18
31.3,34,29,-,63,0,3.9,7.6,16.5,-,-,-,-,-,2009,08,19
30.4,36,27,-,65,0,4.3,9.8,24.1,-,-,-,-,-,2009,08,20
28.9,35,26,-,70,0,4.3,8.7,22.2,-,-,-,-,-,2009,08,21
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,08,22
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,08,23
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,08,24
28.1,31,25,-,79,0,2.7,9.1,14.8,-,-,-,o,-,2009,08,25
27.7,31,26,-,82,0,2.7,6.5,13,-,-,-,-,-,2009,08,26
28.2,32,26,-,79,0,2.4,6.7,14.8,-,-,-,o,-,2009,08,27
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,08,28
-,-,-,-,-,-,-,-,-,-,o,-,o,-,2009,08,29
-,-,-,-,-,-,-,-,-,-,o,-,o,-,2009,08,30
30.8,34,28,-,72,0,3.9,6.1,13,-,-,-,o,-,2009,08,31
30.4,34,28,-,76,-,3.2,4.1,18.3,-,o,-,-,-,2009,09,1
29,35,26,-,79,0,2.9,8,16.5,33.5,-,-,-,-,2009,09,2
28.3,33,24,-,78,-,3.1,11.3,27.8,37,o,-,o,-,2009,09,3
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,09,4
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,09,5
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,09,6
29.8,34,26,-,62,0,4,8,16.5,-,-,-,-,-,2009,09,7
28.3,32,25,-,68,-,3.9,10.6,25.9,-,o,-,-,-,2009,09,8
27.2,32,24,-,83,-,3.2,11.5,22.2,-,o,-,o,-,2009,09,9
-,-,-,-,-,-,-,-,-,-,o,-,o,-,2009,09,10
-,-,-,-,-,-,-,-,-,-,o,-,o,-,2009,09,11
-,-,-,-,-,-,-,-,-,-,o,-,-,-,2009,09,12
27.7,31,23,-,83,0,2.7,8.1,16.5,-,-,-,-,-,2009,09,13
28.9,34,25,-,69,0,3.4,8.1,20.6,-,-,-,-,-,2009,09,14
29,33,24,-,66,0,4,7.4,20.6,-,-,-,-,-,2009,09,15
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,09,16
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,09,17
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,09,18
30.6,35,25,-,65,0,3.7,5.7,14.8,-,-,-,-,-,2009,09,19
31.2,36,26,-,63,0,3.9,5.9,11.1,-,-,-,-,-,2009,09,20
31.4,36,27,-,64,0,4,7.4,11.1,-,-,-,-,-,2009,09,21
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,09,22
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,09,23
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,09,24
30.6,36,25,-,56,0,4.2,10.6,22.2,-,-,-,-,-,2009,09,25
30.9,35,26,-,54,0,3.7,10.4,22.2,-,-,-,-,-,2009,09,26
30.3,35,25,-,59,0,3.4,7.4,18.3,-,-,-,-,-,2009,09,27
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,09,28
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,09,29
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,09,30
31.2,36,27,-,66,0,3.5,9.8,13,-,-,-,-,-,2009,10,1
30.9,35,27,-,62,0,4.5,10.7,18.3,-,-,-,-,-,2009,10,2
29.9,34,26,-,60,0,4.8,9.4,16.5,-,-,-,-,-,2009,10,3
-,-,-,-,-,-,-,-,-,-,o,-,-,-,2009,10,4
-,-,-,-,-,-,-,-,-,-,o,-,-,-,2009,10,5
-,-,-,-,-,-,-,-,-,-,o,-,-,-,2009,10,6
27.7,32,21,-,59,0,3.2,7.2,18.3,-,-,-,-,1,2009,10,7
28.1,35,21,-,49,0,3.4,4.8,18.3,-,-,-,-,-,2009,10,8
28.5,35,21,-,39,0,4.2,8,18.3,-,-,-,-,-,2009,10,9
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,10,10
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,10,11
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,10,12
26.8,33,20,-,45,0,2.6,4.1,13,-,-,-,-,-,2009,10,13
28.1,34,20,-,42,0,2.3,3.1,9.4,-,-,-,-,-,2009,10,14
27.9,34,23,-,42,0,2.4,5.2,13,-,-,-,-,-,2009,10,15
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,10,16
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,10,17
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,10,18
25.7,33,18,-,40,0,2.6,6.7,18.3,-,-,-,-,-,2009,10,19
24.8,32,17,-,37,0,2.9,7.4,18.3,-,-,-,-,-,2009,10,20
25.3,33,18,-,34,0,2.7,5,13,-,-,-,-,-,2009,10,21
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,10,22
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,10,23
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,10,24
24.6,31,17,-,29,0,2.4,3.7,14.8,-,-,-,-,-,2009,10,25
26.4,31,18,-,25,0,2.9,8.7,14.8,-,-,-,-,-,2009,10,26
25.8,31,18,-,26,0,2.9,6.5,14.8,-,-,-,-,-,2009,10,27
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,10,28
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,10,29
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,10,30
24.7,31,18,-,37,0,3.2,5.4,9.4,-,-,-,-,-,2009,10,31
24.3,31,18,-,45,0,2.4,7.6,11.1,-,-,-,-,-,2009,11,1
23.6,31,18,-,54,0,2.1,8.3,13,-,-,-,-,-,2009,11,2
24,29,19,-,55,0,2.3,3.5,9.4,-,-,-,-,-,2009,11,3
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,11,4
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,11,5
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,11,6
23.5,30,18,-,59,0,0.6,1.9,7.6,-,-,-,-,1,2009,11,7
25.1,31,19,-,52,0,1.6,4.8,11.1,-,-,-,-,1,2009,11,8
24.9,32,18,-,45,0,2.7,8.5,18.3,-,-,-,o,-,2009,11,9
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,11,10
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2009,11,11
-,-,-,-,-,-,-,-,-,-,o,-,-,-,2009,11,12
19.6,22,17,-,89,-,1.9,5.9,18.3,-,o,-,-,-,2009,11,13
22.4,26,19,-,82,0,1.9,4.3,13,-,-,-,-,-,2009,11,14
22.7,27,18,-,73,0,1.9,5.4,14.8,-,-,-,-,-,2009,11,15
-,-,-,-,-,-,-,-,-,-,-,-,o,1,2009,11,16
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,11,17
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,11,18
17.7,24,12,-,47,0,3.1,9.3,20.6,-,-,-,-,-,2009,11,19
17.2,24,10,-,44,0,2.7,6.9,16.5,-,-,-,-,-,2009,11,20
18.7,26,10,-,42,0,1.9,1.9,5.4,-,-,-,-,-,2009,11,21
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,11,22
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,11,23
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,11,24
18.7,27,11,-,50,0,1.9,3.1,11.1,-,-,-,-,-,2009,11,25
21.5,27,12,-,39,0,3.1,6.5,14.8,-,-,-,-,-,2009,11,26
17.3,25,11,-,50,0,1.9,5,13,-,-,-,-,-,2009,11,27
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,11,28
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,11,29
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,11,30
16.6,24,12,-,62,0,1.3,2.6,7.6,-,-,-,-,1,2009,12,1
17.9,25,12,-,53,0,1.8,4.8,13,-,-,-,-,1,2009,12,2
16.7,25,11,-,60,0,1.4,3.5,9.4,-,-,-,-,1,2009,12,3
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,12,4
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,12,5
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,12,6
16.9,24,11,-,58,0,1.8,5,13,-,-,-,-,-,2009,12,7
15.3,22,9,-,49,0,2.1,5.4,11.1,-,-,-,-,-,2009,12,8
18.8,23,12,-,45,0,1.4,1.7,9.4,-,-,-,-,-,2009,12,9
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2009,12,10
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2009,12,11
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2009,12,12
17.1,23,12,-,54,0,1.6,1.7,7.6,-,-,-,-,-,2009,12,13
17.4,23,11,-,57,-,1.9,4.4,13,-,o,-,o,1,2009,12,14
16.4,21,13,-,74,-,1.9,4.4,11.1,-,o,-,-,1,2009,12,15
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2009,12,16
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,12,17
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2009,12,18
14.1,22,8,-,55,0,2.4,4.6,11.1,-,-,-,-,-,2009,12,19
14.3,21,9,-,58,0,2.1,5.2,16.5,-,-,-,-,1,2009,12,20
13.4,21,7,-,61,0,1.4,8.3,16.5,-,-,-,-,1,2009,12,21
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2009,12,22
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2009,12,23
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2009,12,24
